"census_tract","pct_unemployed","pct_commute_public_transit","median_household_income","mean_household_income","pct_child_uninsured","pct_families_below_poverty_line"
42101016701,34.9,56.5,19647,35218,0,40.9
42101016702,13.8,57,20230,25486,16.7,30.5
42101016800,17.5,41.8,17250,29206,0,36.2
42101016901,27.4,38,29202,36635,9.3,22.3
42101016902,13.3,49.9,24802,33938,0,37.1
42101017000,9.2,24.3,36275,46630,0,22
42101017100,10.4,37.3,30647,37791,2.8,14
42101017201,12,28.1,27217,40928,3.9,20
42101017202,14.2,22.2,15731,22536,6.6,34.1
42101017300,7.6,43.9,23479,35115,0,32
42101017400,27.9,40.5,22625,28559,0,42.5
42101017500,31.1,36.5,17708,28274,0,56
42101017601,16,26.8,17855,28367,8.5,54.4
42101017602,22,26.4,18329,24329,1,56.3
42101017701,33.5,45.5,21589,27392,7.1,44.9
42101017702,21.8,47.6,16604,29497,0.5,55.8
42101017800,22.2,37.1,24975,25975,11.9,52.4
42101017900,30.3,19.7,31197,35021,2.4,29
42101018001,8.7,11.7,57981,70446,0,17.4
42101018002,12.2,16.6,39479,56011,0,21
42101018300,14.4,10.3,59063,69097,2.7,12.4
42101018400,8.8,15.9,50321,63838,3.3,7.1
42101018800,27.6,22,23705,32194,1.3,48.3
42101019000,19.5,19.4,32963,38531,5.4,29.1
42101019100,13.6,22.8,31565,42736,6.9,30.2
42101019200,28.5,21.5,24864,31739,2.4,56.5
42101019501,27.2,33.3,14451,22672,2.4,43.2
42101019502,21.3,26.6,23233,28132,3.1,49.7
42101019700,28.1,36,19685,33164,2.1,42.2
42101019800,20.6,41.8,23419,32289,3.8,42.5
42101019900,43.3,28.9,18576,26471,2,56.1
42101020000,21,42.7,25066,29037,5.7,31.3
42101020101,17.6,44.6,17052,24887,0,34.8
42101020102,23.1,49.2,32066,48361,3.2,22.1
42101020200,25.4,36.9,18550,25882,14.4,23.8
42101020300,24.1,41.9,26397,34144,0,45.2
42101020400,21.6,40.3,21977,31677,3.1,22
42101020500,30.1,37.7,25063,25802,0,19.2
42101020600,5,23.8,34688,89556,2.5,7.1
42101020700,8.4,21.4,52816,74372,6,9.8
42101020800,10,24.7,43646,63235,0,7.1
42101020900,3.9,15,58750,79360,0,2.6
42101021000,2.6,14.8,73723,83128,7.8,11.2
42101021100,3.2,22.7,69453,85726,0,4.4
42101021200,3.4,14.6,65560,76702,0,3
42101021300,6.4,10.3,63117,93289,0,7.4
42101021400,3.5,21.1,71125,81517,5.2,6.4
42101021500,4.3,16.9,72371,81371,1.6,8.7
42101021600,7.7,15.8,66719,84563,0,11.3
42101021700,4.2,15.9,72239,80777,0,1.3
42101021800,10,18.8,50135,56556,0,15.1
42101021900,4.1,7.4,75000,86560,14,3.5
42101022000,13.3,16.6,87292,106020,0,1
42101023100,0.7,20.7,137500,192982,0,0
42101023500,8.8,11.8,76667,112193,0,6.9
42101023600,7.3,17.6,67147,103980,2.1,4.5
42101023700,11.2,28,54835,81030,0,2
42101023800,14.2,34,46607,66246,0,5.1
42101023900,6.4,26.2,20843,40731,0,14.1
42101024000,6.6,34.6,43750,59816,3.5,22.2
42101024100,15.7,34.7,16392,31730,0,24.3
42101024200,14.3,38.3,22500,39915,1.6,23.9
42101024300,11.1,25.2,28823,45391,1.2,24.1
42101024400,16.4,16.5,26958,42415,2.4,21.4
42101024500,26.2,28.8,16474,27792,0,56.4
42101024600,16.5,20.2,17279,25826,0,39.3
42101024700,22.2,27.4,19613,28691,0,39.3
42101024800,14.3,26.8,39917,52146,0,8.9
42101024900,14.2,53,24528,33749,9,42.7
42101025200,14.6,45,31299,38536,0,25
42101025300,18.3,30.8,39353,50043,0,12.8
42101025400,9.2,29.7,51806,65425,12.2,8.8
42101025500,9.8,28.3,60827,76990,0,2.9
42101025600,4.8,21.4,82768,111781,0,3.5
42101025700,4.8,24.9,58567,71604,25.1,4.6
42101025800,9.8,27.7,53026,60822,2.1,0
42101025900,17.9,34.6,42356,55606,0,8
